what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1357875189587
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1357875189589
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1357875189589
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1357875189591
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1357875189592
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1357875189594
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1357875189597
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1357875190002
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1357875190003
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1357875190004
started,bundle,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.adt",1357875190005
started,bundle,com.android.ide.eclipse.base,21.0.0.v201210310015-519525,"com.android.ide.eclipse.base",1357875190008
started,bundle,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms",1357875190009
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201211091924,"org.eclipse.cdt.codan.ui.cxx",1357875190010
started,bundle,org.eclipse.cdt.core,5.3.2.201211091924,"org.eclipse.cdt.core",1357875190017
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201211091924,"org.eclipse.cdt.debug.core",1357875190593
started,bundle,org.eclipse.cdt.make.core,7.1.2.201211091924,"org.eclipse.cdt.make.core",1357875190595
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201211091924,"org.eclipse.cdt.managedbuilder.core",1357875190596
os,sysinfo,,,"win32",1357875190602
arch,sysinfo,,,"x86_64",1357875190602
ws,sysinfo,,,"win32",1357875190602
locale,sysinfo,,,"en_US",1357875190602
processors,sysinfo,,,"2",1357875190602
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1357875190602
java.runtime.version,sysinfo,,,"1.6.0_27-b07",1357875190602
java.specification.name,sysinfo,,,"Java Platform API Specification",1357875190602
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1357875190602
java.specification.version,sysinfo,,,"1.6",1357875190602
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1357875190602
java.version,sysinfo,,,"1.6.0_27",1357875190602
java.vm.info,sysinfo,,,"mixed mode",1357875190602
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1357875190602
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1357875190602
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1357875190602
java.vm.specification.version,sysinfo,,,"1.0",1357875190602
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1357875190602
java.vm.version,sysinfo,,,"20.2-b06",1357875190602
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1357875190608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357875190740
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1357875191017
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1357875191080
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1357875191222
